score_resting_hr,score_temperature,score_activity_balance,score_previous_day,score_previous_night,summary_date,period_id,score,score_recovery_index,score_sleep_balance
100,94,96,0,85,2016-10-26,0,89,74,87
100,100,71,34,85,2016-10-21,0,87,100,100
100,100,100,72,52,2016-11-06,0,79,92,70
81,100,99,73,70,2016-11-01,0,84,100,91
83,100,98,0,70,2016-10-28,0,84,100,85
100,99,97,36,70,2016-10-29,0,85,100,92
100,100,80,73,55,2016-09-15,0,81,76,90
100,95,94,67,50,2016-11-02,0,80,76,87
88,98,96,60,58,2016-11-03,0,78,71,87
71,80,81,0,15,2016-10-16,0,65,79,70
100,100,98,62,52,2016-11-07,1,73,49,69
100,91,99,76,75,2016-11-08,0,82,76,70
100,86,79,61,1,2016-06-07,0,41,25,1
13,86,78,68,1,2016-06-29,0,20,20,1
100,97,100,60,80,2016-11-10,0,82,69,73
25,79,87,61,30,2016-11-11,0,58,23,70
88,100,93,58,27,2016-11-12,0,64,46,69
96,97,87,75,55,2016-11-13,0,78,87,73
96,100,92,0,43,2016-11-14,0,76,96,68
73,90,93,75,37,2016-11-15,1,68,95,65
66,100,90,71,58,2016-11-16,0,67,63,67
67,100,95,0,83,2016-11-17,0,73,59,70
37,100,90,68,33,2016-11-18,0,53,70,61
92,100,99,0,40,2016-11-21,1,72,90,63
92,93,99,60,65,2016-11-22,1,78,100,67
100,100,95,60,1,2016-11-23,0,61,66,57
87,100,74,79,85,2016-10-17,0,89,100,100
